Exhibit,Metric,Category,Group,Year,Value,Question Target,,
"Expectations about the Impact of AI adoption on organizations' workforces, next 3 years",Change in number of employees,Increase by 3-10%,All respondents,Next 3 years,8,Organization,,
"Expectations about the Impact of AI adoption on organizations' workforces, next 3 years",Change in number of employees,Increase by 11-20%,All respondents,Next 3 years,4,Organization,,
"Expectations about the Impact of AI adoption on organizations' workforces, next 3 years",Change in number of employees,Increase by >20%,All respondents,Next 3 years,3,Organization,,
"Expectations about the Impact of AI adoption on organizations' workforces, next 3 years",Change in number of employees,Don't know,All respondents,Next 3 years,12,Organization,,
"Expectations about the Impact of AI adoption on organizations' workforces, next 3 years",Share of Employees expected to be Reskilled,Increase by >20%,All respondents,Next 3 years,38,Organization,,
"Expectations about the Impact of AI adoption on organizations' workforces, next 3 years",Share of Employees expected to be Reskilled,Increase by 11-20%,All respondents,Next 3 years,18,Organization,,
"Expectations about the Impact of AI adoption on organizations' workforces, next 3 years",Share of Employees expected to be Reskilled,Increase by 6-10%,All respondents,Next 3 years,17,Organization,,
"Expectations about the Impact of AI adoption on organizations' workforces, next 3 years",Share of Employees expected to be Reskilled,<= 5%,All respondents,Next 3 years,20,Organization,,
"Expectations about the Impact of AI adoption on organizations' workforces, next 3 years",Share of Employees expected to be Reskilled,Don't know,All respondents,Next 3 years,8,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,<=10%,Share of respondents,AI high performers,Next 3 years,8,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,<=10%,Share of respondents,All other respondents,Next 3 years,38,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,11-20%,Share of respondents,AI high performers,Next 3 years,10,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,11-20%,Share of respondents,All other respondents,Next 3 years,18,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,21-30%,Share of respondents,AI high performers,Next 3 years,9,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,21-30%,Share of respondents,All other respondents,Next 3 years,14,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,>30%,Share of respondents,AI high performers,Next 3 years,73,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,>30%,Share of respondents,All other respondents,Next 3 years,21,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,Don't Know,Share of respondents,AI high performers,Next 3 years,0,Organization,,
Share of employees at respondents' organization expected to be reskilled over the next 3 years,Don't Know,Share of respondents,All other respondents,Next 3 years,9,Organization,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Decrease,Product and/or service development,All respondents,Next 3 years,30,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Little or no change,Product and/or service development,All respondents,Next 3 years,35,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Increase,Product and/or service development,All respondents,Next 3 years,20,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Don't Know,Product and/or service development,All respondents,Next 3 years,15,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Decrease,Risk,All respondents,Next 3 years,31,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Little or no change,Risk,All respondents,Next 3 years,37,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Increase,Risk,All respondents,Next 3 years,20,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Don't Know,Risk,All respondents,Next 3 years,12,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Decrease,Strategy and corporate finance,All respondents,Next 3 years,37,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Little or no change,Strategy and corporate finance,All respondents,Next 3 years,28,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Increase,Strategy and corporate finance,All respondents,Next 3 years,25,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Don't Know,Strategy and corporate finance,All respondents,Next 3 years,10,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Decrease,Marketing and sales,All respondents,Next 3 years,39,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Little or no change,Marketing and sales,All respondents,Next 3 years,33,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Increase,Marketing and sales,All respondents,Next 3 years,17,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Don't Know,Marketing and sales,All respondents,Next 3 years,12,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Decrease,Manufacturing,All respondents,Next 3 years,40,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Little or no change,Manufacturing,All respondents,Next 3 years,33,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Increase,Manufacturing,All respondents,Next 3 years,12,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Don't Know,Manufacturing,All respondents,Next 3 years,15,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Decrease,HR,All respondents,Next 3 years,41,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Little or no change,HR,All respondents,Next 3 years,30,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Increase,HR,All respondents,Next 3 years,17,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Don't Know,HR,All respondents,Next 3 years,11,People,,
